,battery,year,month,brand,model,weight,CPU model,CPU freq,CPU cores,SIM cards,ROM,RAM,screen size,resolution,screen material,front camera,rear camera,rear camera specs,charging port,price,comments
25321808903,1050,2018年,以官网信息为准,飞利浦（Philips）,飞利浦（PHILIPS）电信老人手机,130,其他,,,1个,,,2.0英寸,240×320,TFT,,后置单摄,,Micro USB,['169.00'],5.5万+
3860259,1530,2017年,2月,飞利浦（Philips）,311,112.5,其他,,,2个,,,2.4英寸,240x320,其他,,后置单摄,,Micro USB,['229.00'],5.5万+
15196289452,,,,,,,,,,,,,,,,,,,,['129.00'],5.5万+
100001491565,1000,2018年,以官网信息为准,,107,78,其他,,,2个,,,1.77英寸,其他,其他,,无后置摄像头,,Micro USB,['99.00'],5.5万+
100006092223,4030mAh,2019年,7月,小米（MI）,小米 CC 9e屏幕指纹 3200万美颜自拍 4800万超广角三摄 6GB+64GB 深蓝星球 全网通 水滴全面屏游戏拍照手机,173.8,骁龙665,,,2个,,,6.088英寸,1560 x 720,AMOLED,,后置三摄,,Type-C,['999.00'],5.4万+
28245104630,3000mAh（典型值）,2018年,6月,华为（HUAWEI）,荣耀9i,152,其他,,,2个,,,5.84英寸,2280x1080,其他,,后置双摄,,Micro USB,['1149.00'],5.4万+
100010984576,4000mAh（typ）*3900mAh（min）,2019年,8月,,Redmi Note8,190,骁龙665,,,2个,,,6.3英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,['899.00'],5.4万+
1754478138,1200,2015年,以官网信息为准,索爱,Z6,160,其他,,,2个,,,2.8英寸,596118,其他,,无后置摄像头,,Micro USB,['209.00'],5.3万+
100010984592,4500mAh（typ）,2019年,8月,,Redmi Note8 Pro,199.8,Helio G90T,,,2个,,,6.53英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,['1199.00'],5.4万+
100001548591,3800,2018年,11月,努比亚（nubia）,努比亚红魔Mars,193,骁龙845（SDM845）,,,2个,,,6.0英寸,2160*1080,TFT,,后置单摄,,Type-C,['2099.00'],5.3万+
42450961750,4000,2019年,3月,vivo,iQOO,196,,,,2个,,,,,AMOLED,,,,Type-C,['2298.00'],4.2万+
100000481301,以官网信息为准,2018年,9月,Apple,,177,其他,其他,其他,1个,64GB,其他,5.8英寸,2436×1125,OLED,700万像素,2个,双1200万像素,Lightning（iPhone）,['9098.00'],5.2万+
11794447957,以官网信息为准,2017年,11月,苹果（Apple）,苹果x,174,其他,,,1个,,,5.8英寸,2436×1125,其他,,后置双摄,,Lightning（iPhone）,['6899.00'],5.1万+
100003525722,4100mAh（典型值）,2019年,3月,三星（SAMSUNG）,三星 Galaxy S10+ 8GB+128GB皓玉白（SM-G9750）,175,骁龙855,,,2个,,,6.4英寸,3040*1440,Dynamic AMOLED,,后置三摄,,Type-C,['5299.00'],5.1万+
100010821268,1500mAh,2019年,12月,诺基亚（NOKIA）,诺基亚 2720,118,骁龙205 (MSM8905),,,2个,,,2.8英寸,320x240,TFT,,后置单摄,,Micro USB,['599.00'],5.1万+
